ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile
COL,Colombia,LAC,LAC,Less Developed,2,2,2,2,2,3,2,1,1,2
COM,Comoros,SSA,ESA,Least Developed,14,15,14,17,9,28,18,10,4,4
COG,Congo,SSA,WCA,Less Developed,3,3,3,6,2,8,4,2,1,1
COK,Cook Islands,EAP,EAP,Less Developed,,,,,,,,,,
CRI,Costa Rica,LAC,LAC,Less Developed,1,1,1,1,1,1,2,2,1,0
CIV,Côte d'Ivoire,SSA,WCA,Less Developed,23,26,21,29,15,38,29,23,13,6
HRV,Croatia,ECA,EECA,More Developed,,,,,,,,,,
CUB,Cuba,LAC,LAC,Less Developed,,,,,,,,,,
CYP,Cyprus,ECA,WE,More Developed,,,,,,,,,,
CZE,Czechia,ECA,WE,More Developed,,,,,,,,,,
PRK,Democratic People's Republic of Korea,EAP,EAP,Less Developed,3,3,3,4,3,,,,,
COD,Democratic Republic of the Congo,SSA,WCA,Least Developed,22,22,21,28,13,35,29,21,15,6
DNK,Denmark,ECA,WE,More Developed,,,,,,,,,,
DJI,Djibouti,SSA,ESA,Least Developed,,,,,,,,,,
DMA,Dominica,LAC,LAC,Less Developed,,,,,,,,,,
DOM,Dominican Republic,LAC,LAC,Less Developed,3,2,4,3,3,6,4,2,3,1
ECU,Ecuador,LAC,LAC,Less Developed,1,2,1,1,2,,,,,
EGY,Egypt,MENA,MENA,Less Developed,3,3,3,3,3,5,4,2,2,2
SLV,El Salvador,LAC,LAC,Less Developed,4,3,4,5,3,8,4,2,2,0
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,
ERI,Eritrea,SSA,ESA,Least Developed,,,,,,,,,,
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,
SWZ,Eswatini,SSA,ESA,Less Developed,1,1,2,2,1,2,2,1,2,0
ETH,Ethiopia,SSA,ESA,Least Developed,25,25,26,27,9,41,30,22,19,9
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,
FRA,France,ECA,WE,More Developed,,,,,,,,,,
GAB,Gabon,SSA,WCA,Less Developed,4,3,4,5,4,8,4,1,2,3
GMB,Gambia,SSA,WCA,Least Developed,27,27,28,35,18,32,34,32,23,10
GEO,Georgia,ECA,EECA,Less Developed,1,1,1,2,1,2,2,1,1,1
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,
GHA,Ghana,SSA,WCA,Less Developed,7,6,7,8,4,16,6,4,3,1
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,
GTM,Guatemala,LAC,LAC,Less Developed,6,6,5,6,4,9,7,5,2,2
GIN,Guinea,SSA,WCA,Least Developed,34,37,31,44,14,55,43,38,22,11
GNB,Guinea-Bissau,SSA,WCA,Least Developed,28,26,29,36,11,38,39,34,19,6
GUY,Guyana,LAC,LAC,Less Developed,1,1,1,1,1,2,0,0,0,1
HTI,Haiti,LAC,LAC,Least Developed,8,8,9,11,4,21,8,4,3,2
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,
HND,Honduras,LAC,LAC,Less Developed,7,6,7,7,6,7,5,4,5,14
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,
IND,India,SA,SA,Less Developed,6,6,6,7,4,13,6,4,3,1
IDN,Indonesia,EAP,EAP,Less Developed,1,1,1,1,0,1,1,1,1,0
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,
IRQ,Iraq,MENA,MENA,Less Developed,8,10,7,11,7,16,8,8,4,3
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,
JAM,Jamaica,LAC,LAC,Less Developed,0,0,1,1,0,1,0,1,0,0
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,
JOR,Jordan,MENA,MENA,Less Developed,3,2,3,2,3,4,2,2,3,2
KAZ,Kazakhstan,ECA,EECA,Less Developed,0,0,0,0,1,0,0,1,1,1
KEN,Kenya,SSA,ESA,Less Developed,5,5,5,5,3,14,2,1,2,2
KIR,Kiribati,EAP,EAP,Least Developed,3,2,4,2,4,3,2,4,4,2
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,1,1,1,1,1,2,2,1,0,1
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,8,8,8,10,3,19,7,4,2,1
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,
LSO,Lesotho,SSA,ESA,Least Developed,3,2,4,3,3,5,2,2,3,1
LBR,Liberia,SSA,WCA,Least Developed,17,17,18,23,14,32,23,16,10,7
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,
MDG,Madagascar,SSA,ESA,Least Developed,22,19,24,24,11,44,30,14,7,3
MWI,Malawi,SSA,ESA,Least Developed,6,5,6,6,2,10,7,5,3,2
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,
MDV,Maldives,SA,SA,Less Developed,1,1,1,1,1,1,1,1,1,1
MLI,Mali,SSA,WCA,Least Developed,47,50,45,55,18,74,59,50,34,16
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,
MRT,Mauritania,SSA,WCA,Least Developed,42,40,44,51,29,58,53,39,31,17
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,
MEX,Mexico,LAC,LAC,Less Developed,1,1,1,2,1,,,,,
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,
MNG,Mongolia,EAP,EAP,Less Developed,4,3,5,3,4,3,4,4,4,3
MNE,Montenegro,ECA,EECA,More Developed,3,3,4,3,4,8,2,2,3,1
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,
MOZ,Mozambique,SSA,ESA,Least Developed,23,23,23,27,12,36,32,25,16,5
MMR,Myanmar,EAP,EAP,Least Developed,6,7,5,7,3,14,5,3,3,2
NAM,Namibia,SSA,ESA,Less Developed,4,4,5,6,2,8,5,4,2,1
NRU,Nauru,EAP,EAP,Less Developed,3,2,3,,,,,,,
NPL,Nepal,SA,SA,Least Developed,6,7,5,6,5,6,6,8,5,1
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,
